SPECIES,PREDATORY,RETAINED,SURVEYED,SPECIES_NAME
10,1,1,1,COD(ATLANTIC)
11,1,1,1,HADDOCK
111,1,0,1,SPOTTED HAKE
112,1,1,1,LONGFIN HAKE
114,1,0,1,FOURBEARD ROCKLING
119,1,0,1,ROCKLING UNIDENTIFIED
12,1,1,1,WHITE HAKE
122,1,1,1,CUNNER
123,0,0,1,ROSEFISH(BLACK BELLY)
13,1,1,1,SQUIRREL OR RED HAKE
14,1,1,1,SILVER HAKE
141,1,1,1,SUMMER FLOUNDER
142,1,1,1,FOURSPOT FLOUNDER
143,1,1,1,BRILL/WINDOWPANE
149,1,0,1,LONGNOSE GREENEYE
15,1,1,1,CUSK
150,1,0,1,LANTERNFISH (NS)
156,1,0,1,SHORT-NOSE GREENEYE
16,1,1,1,POLLOCK
160,0,1,1,ARGENTINE(ATLANTIC)
17,0,0,1,TOMCOD
172,1,1,0,STRIPED BONITO/SKIPJACK
19,1,0,1,OFF-SHORE HAKE
190,1,1,0,ALBACORE TUNA
192,1,1,0,BIGEYE TUNA
200,1,0,1,BARNDOOR SKATE
201,1,1,1,THORNY SKATE
202,1,0,1,SMOOTH SKATE
203,1,1,1,LITTLE SKATE
204,1,1,1,WINTER SKATE
220,1,1,1,SPINY DOGFISH
221,1,0,1,BLACK DOGFISH
2211,0,1,0,PANDALUS BOREALIS
2212,0,1,0,PANDALUS MONTAGUI
2221,0,1,0,PASIPHAEA MULTIDENTATA
23,0,1,1,REDFISH UNSEPARATED
230,1,1,0,"PORBEAGLE,MACKEREL SHARK"
231,1,1,0,BLUE SHARK
233,1,1,0,BASKING SHARK
238,1,1,0,SHORTFIN MAKO
24,0,1,0,STRIPED BASS
241,1,1,1,NORTHERN HAGFISH
246,1,1,0,DUSKY SHARK
25,1,1,0,TILE FISH
2511,0,1,0,JONAH CRAB
2513,0,1,0,ATLANTIC ROCK CRAB
2523,0,1,0,NORTHERN STONE
2526,1,1,0,SNOW CRAB (QUEEN)
2531,0,1,0,GREEN CRAB
2532,0,1,0,DEEP SEA RED CRAB
2550,0,1,0,AMERICAN LOBSTER
256,1,1,0,PELAGIC FISH (NS)
265,0,1,0,MULLETS
27,1,1,0,ESCOLAR
272,0,1,0,STURGEONS
30,1,1,1,HALIBUT(ATLANTIC)
300,1,1,1,LONGHORN SCULPIN
3000,0,1,0,SEGMENTED WORMS
301,1,0,1,SHORTHORN SCULPIN
303,1,0,1,GRUBBY(LITTLE)
304,1,0,1,MAILED SCULPIN
306,0,0,1,ARCTIC HOOKEAR SCULPIN
307,1,0,1,POLAR SCULPIN
31,1,1,1,"TURBOT,GREENLAND HALIBUT"
32,1,1,0,WHITE MARLIN
320,1,1,1,SEA RAVEN
33,1,1,0,BLUE MARLIN
340,0,0,1,ALLIGATORFISH
350,0,0,1,ATLANTIC SEA POACHER
40,1,1,1,AMERICAN PLAICE
400,1,1,1,"MONKFISH,GOOSEFISH,ANGLER"
41,1,1,1,WITCH FLOUNDER
410,1,0,1,MARLIN-SPIKE GRENADIER
411,1,0,1,ROUGHHEAD GRENADIER
412,1,0,1,ROUGHNOSE GRENADIER
414,1,0,1,ROCK GRENADIER(ROUNDNOSE)
42,1,1,1,YELLOWTAIL FLOUNDER
4210,0,1,0,WHELKS
4250,0,1,0,PERIWINKLES
43,1,1,1,WINTER FLOUNDER
4304,0,1,0,OCEAN QUAHAUG
4310,0,1,0,CLAMS (NS)
4310,0,1,0,CLAMS (NS)
4315,0,1,0,RAZOR CLAM
4318,0,1,0,SOFT SHELL CLAM
4321,0,1,0,SEA SCALLOP
4322,0,1,0,ICELAND SCALLOP
4326,0,1,0,AMERICAN CUPPED OYSTER
4355,0,1,0,STIMPSON'S SURF CLAM
4355,0,1,0,STIMPSON'S SURF CLAM
4355,0,1,0,STIMPSON'S SURF CLAM
44,1,1,1,GULF STREAM FLOUNDER
4511,1,1,1,SHORT-FIN SQUID
4514,1,1,0,SQUID (NS)
49,1,1,1,FLOUNDER UNIDENTIFIED
50,1,1,1,STRIPED ATLANTIC WOLFFISH
500,1,0,1,SEASNAIL UNIDENTIFIED
501,1,0,1,LUMPFISH
502,0,0,1,ATLANTIC SPINY LUMPSUCKER
503,0,0,1,ATLANTIC SEASNAIL
51,1,0,1,SPOTTED WOLFFISH
52,1,0,1,NORTHERN WOLFFISH
59,1,1,1,"WOLFFISH,UNIDENT."
60,0,1,1,HERRING(ATLANTIC)
600,0,1,0,AMERICAN EEL
604,1,0,1,SNIPE EEL
61,0,1,1,SHAD AMERICAN
610,0,0,1,NORTHERN SAND LANCE
619,1,0,1,"EELPOUT,NEWFOUNDLAND"
62,0,1,1,ALEWIFE
620,1,0,1,LAVAL'S EELPOUT
621,1,0,1,ROCK GUNNEL(EEL)
622,0,0,1,SNAKE BLENNY
623,1,0,1,DAUBED SHANNY
625,0,0,1,RADIATED SHANNY
626,1,0,1,4-LINE SNAKE BLENNY
63,0,1,0,RAINBOW SMELT
630,0,0,1,WRYMOUTH
64,0,1,1,CAPELIN
640,1,0,1,OCEAN POUT(COMMON)
641,1,0,1,ARCTIC EELPOUT
6411,0,1,0,STRONGYLOCENTROTUS DROEBACHIENSIS
6411,0,1,0,STRONGYLOCENTROTUS DROEBACHIENSIS
642,1,0,1,EELPOUTS(NS)
646,0,0,1,ATLANTIC SOFT POUT
647,1,0,1,SHORTTAILED EELPOUT(VAHL)
65,0,1,0,SALMON(ATLANTIC)
70,0,1,1,MACKEREL(ATLANTIC)
700,0,0,1,ATLANTIC SILVER HATCHFISH
701,0,1,1,BUTTERFISH
71,1,1,0,BLUEFIN TUNA
710,0,1,0,LONGNOSE LANCETFISH
712,1,0,1,WHITE BARRACUDINA
72,1,1,0,SWORDFISH
720,0,0,1,"ATLANTIC SAURY,NEEDLEFISH"
73,1,1,0,"TUNAS,SWORDFISHES,ETC."
741,1,0,1,HATCHETFISH
747,1,1,0,DOLPHIN(COMMON)
76,0,1,0,ARCTIC CHAR
880,1,0,1,"HOOKEAR SCULPIN,ATL."
